Msg ID;Time Stamp; PTU VAR 1 ; PTU VAR 2 ; PTU VAR 3 ; PTU VAR 4 ; PTU VAR 5 ; PTU VAR 6 ; PTU VAR 7 ; PTU VAR 8 ; PTU VAR 9 ; PTU VAR 10 ; PTU VAR 11 ; PTU VAR 12 ; PTU VAR 13 ; PTU VAR 14 ; PTU VAR 15 ; PTU VAR 16 ; PTU VAR 17 ; PTU VAR 18 ; PTU VAR 19 ; PTU VAR 20 ; PTU VAR 21 ; PTU VAR 22 ; PTU VAR 23 ; PTU VAR 24 ; PTU VAR 25 ; PTU VAR 26 ; PTU VAR 27 ; PTU VAR 28 ; PTU VAR 29 ; PTU VAR 30 ; PTU VAR 31 ; PTU VAR 32 ; PTU VAR 33 ; PTU VAR 34 ; PTU VAR 35 ; PTU VAR 36 ; PTU VAR 37 ; PTU VAR 38 ; PTU VAR 39 ; PTU VAR 40 ; PTU VAR 41 ; PTU VAR 42 ; PTU VAR 43 ; PTU VAR 44 ; PTU VAR 45 ; PTU VAR 46 ; PTU VAR 47 ; PTU VAR 48 ; PTU VAR 49 ; PTU VAR 50 ; PTU VAR 51 ; PTU VAR 52 ; PTU VAR 53 ; PTU VAR 54 ; PTU VAR 55 ; PTU VAR 56 ; PTU VAR 57 ; PTU VAR 58 ; PTU VAR 59 ; PTU VAR 60 ; PTU VAR 61 ; PTU VAR 62 ; PTU VAR 63 ; PTU VAR 64 ; PTU VAR 65 ; PTU VAR 66 ; PTU VAR 67 ; PTU VAR 68 ; PTU VAR 69 ; PTU VAR 70 ; PTU VAR 71 ; PTU VAR 72 ; PTU VAR 73 ; PTU VAR 74 ; PTU VAR 75 ; PTU VAR 76 ; PTU VAR 77 ; PTU VAR 78 ; PTU VAR 79 ; PTU VAR 80 
;;Distance To Station                     ;Actual Acceleration                     ;Command Acceleration                    ;Actual Speed                            ;Command Speed                           ;Tractive Effort Request                 ;Reference Velocity                      ;SSP - Warning Speed                     ;Station Target Speed                    ;TCMS Out Trc Brk Request                ;Command State                           ;Hold Train Command                      ;---;Debug 16                                ;Debug 15                                ;PI-Jerk Limit                           ;Debug 19                                ;Tail Footprint Packed                   ;Head Footprint Packed                   ;---;PI-Speed Error                          ;PI-Feed Forward Term                    ;PI-Proportional Term                    ;PI-Integral Term                        ;---;VATC Craddle Index                      ;Controlling ATC                         ;Actual Location Confirmed               ;Operating Mode                          ;Next Operating Mode                     ;Loss Of Comm With RATO                  ;Loss Of Comm With RATP                  ;Forward TL -ATP1                        ;Reverse TL -ATP1                        ;Reason For Emer Braking                 ;Manual Movement Authority               ;Driverless Movement Authority           ;Sleep Mode State                        ;TCMS In Train Weight                    ;Train Operator Mode Selection           ;Monitor Motion Mode                     ;Reason For Emer Braking                 ;Override Tractive Effort Request        ;TCMS Out Trc Brk Request                ;Tractive Effort Request                 ;Hold In Station                         ;Command Direction                       ;Propulsion_Enabled-TL -ATP1             ;Propulsion Disabled                     ;Traction Enable TL -ATP1                ;Head Footprint-Segment ID               ;PI-Speed Error                          ;Operating Mode                          ;Position Error Forward                  ;Position Error Reverse                  ;Distance To Front CP                    ;Distance To Station                     ;Distance To Station MET                 ;Distance At Station                     ;Occupied Berths                         ;---;Debug 9                                 ;Debug 11                                ;RATO Database: PM Cruise Speed          ;RATO Database: PM Decel Rate            ;Emergency_Brake_TL_Status -ATP1         ;Loss Of Comm With RATO                  ;Loss Of Comm With RATP                  ;PI- Test Password                       ;PI- Power Prop -Startup                 ;PI- Power Int -Startup                  ;PI- Brake Prop -Station                 ;PI- Brake Int -Station                  ;Calib Tachs Completed Level             ;PI- Power Prop                          ;PI- Power Int                           ;PI- Brake Prop                          ;PI- Brake Int                           ;PI- Brake Feed Fwd                      ;PI- Power Feed Fwd                      
182;26 Feb 2018 00:55:36:0927;43.5;-1.889;-1.9;8.98;9.12;-13137;28.58;28.58;9.18;-667;STN_STOPPING;FALSO;;0;0;781;0;10230001.9;10220086;;0.14;-14250;936;177;;VATC_A;VERDADERO;VERDADERO;UTO_MODE;UTO_MODE;FALSO;FALSO;FALSO;VERDADERO;BRAKES_OK;VERDADERO;VERDADERO;ON;179.04;NO REQ;PERMT_MOVEMT;BRAKES_OK;0;-667;-13137;FALSO;SYS_REVERSE;FALSO;FALSO;VERDADERO;22;0.14;UTO_MODE;0.8;0.8;3873.7;43.5;13.2;0;0x0;;0;0;100;100;VERDADERO;FALSO;FALSO;15236;4500;0;6500;30;LEVEL_2;4500;0;7000;40;7500;8000
183;26 Feb 2018 00:55:37:0017;42.3;-1.889;-1.9;8.82;8.98;-13019;28.58;28.58;9.04;-661;STN_STOPPING;FALSO;;0;0;781;0;10230000.8;10220084.7;;0.16;-14250;1040;191;;VATC_A;VERDADERO;VERDADERO;UTO_MODE;UTO_MODE;FALSO;FALSO;FALSO;VERDADERO;BRAKES_OK;VERDADERO;VERDADERO;ON;179.04;NO REQ;PERMT_MOVEMT;BRAKES_OK;0;-661;-13019;FALSO;SYS_REVERSE;FALSO;FALSO;VERDADERO;22;0.16;UTO_MODE;0.9;0.9;3872.4;42.3;12.9;0;0x0;;0;0;100;100;VERDADERO;FALSO;FALSO;15236;4500;0;6500;30;LEVEL_2;4500;0;7000;40;7500;8000
184;26 Feb 2018 00:55:37:0107;41.5;-1.941;-1.88;8.74;8.83;-13287;28.58;28.58;8.89;-674;STN_STOPPING;FALSO;;0;0;781;0;10220508.5;10220083.9;;0.1;-14100;617;196;;VATC_A;VERDADERO;VERDADERO;UTO_MODE;UTO_MODE;FALSO;FALSO;FALSO;VERDADERO;BRAKES_OK;VERDADERO;VERDADERO;ON;179.04;NO REQ;PERMT_MOVEMT;BRAKES_OK;0;-674;-13287;FALSO;SYS_REVERSE;FALSO;FALSO;VERDADERO;22;0.1;UTO_MODE;0.9;0.9;3871.6;41.5;12.6;0;0x0;;0;0;100;100;VERDADERO;FALSO;FALSO;15236;4500;0;6500;30;LEVEL_2;4500;0;7000;40;7500;8000
185;26 Feb 2018 00:55:37:0187;40.3;-1.733;-1.86;8.54;8.69;-12779;28.58;28.58;8.75;-649;STN_STOPPING;FALSO;;0;0;781;0;10220507.3;10220082.7;;0.15;-13950;962;209;;VATC_A;VERDADERO;VERDADERO;UTO_MODE;UTO_MODE;FALSO;FALSO;FALSO;VERDADERO;BRAKES_OK;VERDADERO;VERDADERO;ON;179.04;NO REQ;PERMT_MOVEMT;BRAKES_OK;0;-649;-12779;FALSO;SYS_REVERSE;FALSO;FALSO;VERDADERO;22;0.15;UTO_MODE;0.9;0.9;3870.4;40.3;12.2;0;0x0;;0;0;100;100;VERDADERO;FALSO;FALSO;15236;4500;0;6500;30;LEVEL_2;4500;0;7000;40;7500;8000
186;26 Feb 2018 00:55:37:0287;39.2;-1.784;-1.85;8.42;8.54;-12885;28.58;28.58;8.6;-654;STN_STOPPING;FALSO;;0;0;781;0;10220506.3;10220081.5;;0.12;-13875;773;217;;VATC_A;VERDADERO;VERDADERO;UTO_MODE;UTO_MODE;FALSO;FALSO;FALSO;VERDADERO;BRAKES_OK;VERDADERO;VERDADERO;ON;179.04;NO REQ;PERMT_MOVEMT;BRAKES_OK;0;-654;-12885;FALSO;SYS_REVERSE;FALSO;FALSO;VERDADERO;22;0.12;UTO_MODE;1;1;3869.2;39.2;11.9;0;0x0;;0;0;100;100;VERDADERO;FALSO;FALSO;15236;4500;0;6500;30;LEVEL_2;4500;0;7000;40;7500;8000
187;26 Feb 2018 00:55:37:0377;38.1;-1.837;-1.83;8.31;8.4;-12911;28.58;28.58;8.45;-655;STN_STOPPING;FALSO;;0;0;781;0;10220505.1;10220080.3;;0.09;-13725;591;223;;VATC_A;VERDADERO;VERDADERO;UTO_MODE;UTO_MODE;FALSO;FALSO;FALSO;VERDADERO;BRAKES_OK;VERDADERO;VERDADERO;ON;179.04;NO REQ;PERMT_MOVEMT;BRAKES_OK;0;-655;-12911;FALSO;SYS_REVERSE;FALSO;FALSO;VERDADERO;22;0.09;UTO_MODE;1;1;3868;38.1;11.6;0;0x0;;0;0;100;100;VERDADERO;FALSO;FALSO;15236;4500;0;6500;30;LEVEL_2;4500;0;7000;40;7500;8000
188;26 Feb 2018 00:55:37:0457;37;-1.889;-1.81;8.07;8.17;-12670;28.58;28.58;8.23;-643;STN_STOPPING;FALSO;;0;0;781;0;10220504;10220079.2;;0.1;-13575;676;229;;VATC_A;VERDADERO;VERDADERO;UTO_MODE;UTO_MODE;FALSO;FALSO;FALSO;VERDADERO;BRAKES_OK;VERDADERO;VERDADERO;ON;179.04;NO REQ;PERMT_MOVEMT;BRAKES_OK;0;-643;-12670;FALSO;SYS_REVERSE;FALSO;FALSO;VERDADERO;22;0.1;UTO_MODE;1;1;3866.9;37;11.2;0;0x0;;0;0;100;100;VERDADERO;FALSO;FALSO;15236;4500;0;6500;30;LEVEL_2;4500;0;7000;40;7500;8000
189;26 Feb 2018 00:55:37:0508;37;-1.889;-1.81;8.07;8.17;-12670;28.58;28.58;8.23;-643;STN_STOPPING;FALSO;;0;0;781;0;10220504;10220079.2;;0.1;-13575;676;229;;VATC_A;VERDADERO;VERDADERO;UTO_MODE;UTO_MODE;FALSO;FALSO;FALSO;VERDADERO;BRAKES_OK;VERDADERO;VERDADERO;ON;179.04;NO REQ;PERMT_MOVEMT;BRAKES_OK;0;-643;-12670;FALSO;SYS_REVERSE;FALSO;FALSO;VERDADERO;22;0.1;UTO_MODE;1;1;3866.9;37;11.2;0;0x0;;0;0;100;100;VERDADERO;FALSO;FALSO;15236;4500;0;6500;30;LEVEL_2;4500;0;7000;40;7500;8000
190;26 Feb 2018 00:55:37:0558;35.9;-1.889;-1.79;7.91;8.02;-12468;28.58;28.58;8.08;-633;STN_STOPPING;FALSO;;0;0;781;0;10220503;10220078;;0.11;-13425;715;242;;VATC_A;VERDADERO;VERDADERO;UTO_MODE;UTO_MODE;FALSO;FALSO;FALSO;VERDADERO;BRAKES_OK;VERDADERO;VERDADERO;ON;179.04;NO REQ;PERMT_MOVEMT;BRAKES_OK;0;-633;-12468;FALSO;SYS_REVERSE;FALSO;FALSO;VERDADERO;22;0.11;UTO_MODE;1.1;1.1;3865.7;35.9;10.9;0;0x0;;0;0;100;100;VERDADERO;FALSO;FALSO;15236;4500;0;6500;30;LEVEL_2;4500;0;7000;40;7500;8000
191;26 Feb 2018 00:55:37:0608;35.9;-1.889;-1.79;7.91;8.02;-12468;28.58;28.58;8.08;-633;STN_STOPPING;FALSO;;0;0;781;0;10220503;10220078;;0.11;-13425;715;242;;VATC_A;VERDADERO;VERDADERO;UTO_MODE;UTO_MODE;FALSO;FALSO;FALSO;VERDADERO;BRAKES_OK;VERDADERO;VERDADERO;ON;179.04;NO REQ;PERMT_MOVEMT;BRAKES_OK;0;-633;-12468;FALSO;SYS_REVERSE;FALSO;FALSO;VERDADERO;22;0.11;UTO_MODE;1.1;1.1;3865.7;35.9;10.9;0;0x0;;0;0;100;100;VERDADERO;FALSO;FALSO;15236;4500;0;6500;30;LEVEL_2;4500;0;7000;40;7500;8000
192;26 Feb 2018 00:55:37:0668;34.8;-1.785;-1.77;7.64;7.87;-11496;28.58;28.58;7.93;-583;STN_STOPPING;FALSO;;0;0;781;0;10220502;10220077;;0.23;-13275;1521;258;;VATC_A;VERDADERO;VERDADERO;UTO_MODE;UTO_MODE;FALSO;FALSO;FALSO;VERDADERO;BRAKES_OK;VERDADERO;VERDADERO;ON;179.04;NO REQ;PERMT_MOVEMT;BRAKES_OK;0;-583;-11496;FALSO;SYS_REVERSE;FALSO;FALSO;VERDADERO;22;0.23;UTO_MODE;1.1;1.1;3864.7;34.8;10.6;0;0x0;;0;0;100;100;VERDADERO;FALSO;FALSO;15236;4500;0;6500;30;LEVEL_2;4500;0;7000;40;7500;8000
193;26 Feb 2018 00:55:37:0758;33.8;-1.732;-1.75;7.52;7.72;-11558;28.58;28.58;7.77;-587;STN_STOPPING;FALSO;;0;0;781;0;10220501;10220076;;0.2;-13125;1293;274;;VATC_A;VERDADERO;VERDADERO;UTO_MODE;UTO_MODE;FALSO;FALSO;FALSO;VERDADERO;BRAKES_OK;VERDADERO;VERDADERO;ON;179.04;NO REQ;PERMT_MOVEMT;BRAKES_OK;0;-587;-11558;FALSO;SYS_REVERSE;FALSO;FALSO;VERDADERO;22;0.2;UTO_MODE;1.1;1.1;3863.7;33.8;10.3;0;0x0;;0;0;100;100;VERDADERO;FALSO;FALSO;15236;4500;0;6500;30;LEVEL_2;4500;0;7000;40;7500;8000
194;26 Feb 2018 00:55:37:0858;32.8;-1.837;-1.73;7.4;7.56;-11635;28.58;28.58;7.62;-591;STN_STOPPING;FALSO;;0;0;781;0;10220500;10220074.8;;0.16;-12975;1053;287;;VATC_A;VERDADERO;VERDADERO;UTO_MODE;UTO_MODE;FALSO;FALSO;FALSO;VERDADERO;BRAKES_OK;VERDADERO;VERDADERO;ON;179.04;NO REQ;PERMT_MOVEMT;BRAKES_OK;0;-591;-11635;FALSO;SYS_REVERSE;FALSO;FALSO;VERDADERO;22;0.16;UTO_MODE;1.2;1.2;3862.5;32.8;10;0;0x0;;0;0;100;100;VERDADERO;FALSO;FALSO;15236;4500;0;6500;30;LEVEL_2;4500;0;7000;40;7500;8000
