Date Time, global CTA_Version, , , global CTA_Timer, , , IO A_VDR, , , global A_VIUInput_1, , , global A_VIUInput_5, , , global A_VIUInput_14, , , global A_VIUInput_15, , , global A_OSUTaco_R1, , , global A_OSUTaco_S1, , , global A_OSUTaco_T1, , , global A_OSUTaco_R2, , , global A_OSUTaco_S2, , , IO Tach1MovingDir, , , IO Tach2MovingDir, , , IO dopplerMovingDir, , , global A_CPUTemp, , , global A_CPUCTemp, , , Event Name, 
, Raw Value , Calc Value , Enum/Bitmap , Raw Value , Calc Value , Enum/Bitmap , Raw Value , Calc Value , Enum/Bitmap , Raw Value , Calc Value , Enum/Bitmap , Raw Value , Calc Value , Enum/Bitmap , Raw Value , Calc Value , Enum/Bitmap , Raw Value , Calc Value , Enum/Bitmap , Raw Value , Calc Value , Enum/Bitmap , Raw Value , Calc Value , Enum/Bitmap , Raw Value , Calc Value , Enum/Bitmap , Raw Value , Calc Value , Enum/Bitmap , Raw Value , Calc Value , Enum/Bitmap , Raw Value , Calc Value , Enum/Bitmap , Raw Value , Calc Value , Enum/Bitmap , Raw Value , Calc Value , Enum/Bitmap , Raw Value , Calc Value , Enum/Bitmap , Raw Value , Calc Value , Enum/Bitmap , 
16/10/2018 15:34:26, 12, 0,  , 37841, 0,  , 1, 1, TRUE, 1, 1,  , 0, 0,  , 1, 1,  , 0, 0,  , 229, 0,  , 228, 0,  , 40, 0,  , 228, 0,  , 228, 0,  , 2, 0,  , 1, 0,  , 0, 0,  , 45, 0,  , 0, 0,  , 
16/10/2018 15:34:26, 12, 0,  , 37849, 0,  , 1, 1, TRUE, 1, 1,  , 0, 0,  , 1, 1,  , 0, 0,  , 244, 0,  , 244, 0,  , 43, 0,  , 245, 0,  , 244, 0,  , 2, 0,  , 1, 0,  , 0, 0,  , 45, 0,  , 0, 0,  , 
16/10/2018 15:34:26, 12, 0,  , 37857, 0,  , 1, 1, TRUE, 1, 1,  , 0, 0,  , 1, 1,  , 0, 0,  , 254, 0,  , 255, 0,  , 45, 0,  , 255, 0,  , 255, 0,  , 2, 0,  , 1, 0,  , 0, 0,  , 45, 0,  , 0, 0,  , 
16/10/2018 15:34:27, 12, 0,  , 37865, 0,  , 1, 1, TRUE, 1, 1,  , 0, 0,  , 1, 1,  , 0, 0,  , 261, 0,  , 261, 0,  , 48, 0,  , 260, 0,  , 260, 0,  , 2, 0,  , 1, 0,  , 1, 0,  , 45, 0,  , 0, 0,  , 
16/10/2018 15:34:27, 12, 0,  , 37873, 0,  , 1, 1, TRUE, 1, 1,  , 0, 0,  , 1, 1,  , 0, 0,  , 262, 0,  , 262, 0,  , 48, 0,  , 261, 0,  , 261, 0,  , 2, 0,  , 1, 0,  , 0, 0,  , 45, 0,  , 0, 0,  , 
16/10/2018 15:34:27, 12, 0,  , 37881, 0,  , 1, 1, TRUE, 1, 1,  , 0, 0,  , 1, 1,  , 0, 0,  , 261, 0,  , 262, 0,  , 48, 0,  , 260, 0,  , 260, 0,  , 2, 0,  , 1, 0,  , 0, 0,  , 45, 0,  , 0, 0,  , 
16/10/2018 15:34:27, 12, 0,  , 37889, 0,  , 1, 1, TRUE, 1, 1,  , 0, 0,  , 1, 1,  , 0, 0,  , 261, 0,  , 261, 0,  , 48, 0,  , 260, 0,  , 260, 0,  , 2, 0,  , 1, 0,  , 0, 0,  , 45, 0,  , 0, 0,  , 
16/10/2018 15:34:28, 12, 0,  , 37897, 0,  , 1, 1, TRUE, 1, 1,  , 0, 0,  , 1, 1,  , 0, 0,  , 260, 0,  , 260, 0,  , 47, 0,  , 259, 0,  , 260, 0,  , 2, 0,  , 1, 0,  , 0, 0,  , 45, 0,  , 0, 0,  , 
16/10/2018 15:34:28, 12, 0,  , 37905, 0,  , 1, 1, TRUE, 1, 1,  , 0, 0,  , 1, 1,  , 0, 0,  , 259, 0,  , 260, 0,  , 48, 0,  , 259, 0,  , 259, 0,  , 2, 0,  , 1, 0,  , 1, 0,  , 45, 0,  , 0, 0,  , 
16/10/2018 15:34:28, 12, 0,  , 37913, 0,  , 1, 1, TRUE, 1, 1,  , 0, 0,  , 1, 1,  , 0, 0,  , 259, 0,  , 259, 0,  , 48, 0,  , 258, 0,  , 259, 0,  , 2, 0,  , 1, 0,  , 0, 0,  , 45, 0,  , 0, 0,  , 
16/10/2018 15:34:28, 12, 0,  , 37921, 0,  , 1, 1, TRUE, 1, 1,  , 0, 0,  , 1, 1,  , 0, 0,  , 259, 0,  , 259, 0,  , 49, 0,  , 258, 0,  , 258, 0,  , 2, 0,  , 1, 0,  , 1, 0,  , 45, 0,  , 0, 0,  , 
16/10/2018 15:34:29, 12, 0,  , 37929, 0,  , 1, 1, TRUE, 1, 1,  , 0, 0,  , 1, 1,  , 0, 0,  , 259, 0,  , 258, 0,  , 48, 0,  , 257, 0,  , 257, 0,  , 2, 0,  , 1, 0,  , 1, 0,  , 45, 0,  , 0, 0,  , 
16/10/2018 15:34:29, 12, 0,  , 37937, 0,  , 1, 1, TRUE, 1, 1,  , 0, 0,  , 1, 1,  , 0, 0,  , 257, 0,  , 257, 0,  , 48, 0,  , 257, 0,  , 257, 0,  , 2, 0,  , 1, 0,  , 0, 0,  , 45, 0,  , 0, 0,  , 
16/10/2018 15:34:29, 12, 0,  , 37945, 0,  , 1, 1, TRUE, 1, 1,  , 0, 0,  , 1, 1,  , 0, 0,  , 256, 0,  , 256, 0,  , 48, 0,  , 256, 0,  , 256, 0,  , 2, 0,  , 1, 0,  , 0, 0,  , 45, 0,  , 0, 0,  , 
16/10/2018 15:34:30, 12, 0,  , 37953, 0,  , 1, 1, TRUE, 1, 1,  , 0, 0,  , 1, 1,  , 0, 0,  , 254, 0,  , 255, 0,  , 48, 0,  , 254, 0,  , 254, 0,  , 2, 0,  , 1, 0,  , 1, 0,  , 45, 0,  , 0, 0,  , 
16/10/2018 15:34:30, 12, 0,  , 37961, 0,  , 1, 1, TRUE, 1, 1,  , 0, 0,  , 1, 1,  , 0, 0,  , 252, 0,  , 252, 0,  , 47, 0,  , 251, 0,  , 252, 0,  , 2, 0,  , 1, 0,  , 0, 0,  , 45, 0,  , 0, 0,  , 
16/10/2018 15:34:30, 12, 0,  , 37969, 0,  , 1, 1, TRUE, 1, 1,  , 0, 0,  , 1, 1,  , 0, 0,  , 250, 0,  , 250, 0,  , 47, 0,  , 248, 0,  , 248, 0,  , 2, 0,  , 1, 0,  , 0, 0,  , 45, 0,  , 0, 0,  , 
16/10/2018 15:34:30, 12, 0,  , 37977, 0,  , 1, 1, TRUE, 1, 1,  , 0, 0,  , 1, 1,  , 0, 0,  , 245, 0,  , 245, 0,  , 47, 0,  , 243, 0,  , 243, 0,  , 2, 0,  , 1, 0,  , 1, 0,  , 45, 0,  , 0, 0,  , 
